"data_year","offense","race","count","state"
2022,"all","Asian",1302,"MA"
2022,"all","Native Hawaiian",41,"MA"
2022,"all","Black or African American",16709,"MA"
2022,"all","American Indian or Alaska Native",114,"MA"
2022,"all","White",62433,"MA"
2022,"all","Unknown",3169,"MA"
