"data_year","offense","race","count","state"
2022,"all","Asian",1359,"IL"
2022,"all","Native Hawaiian",90,"IL"
2022,"all","Black or African American",52126,"IL"
2022,"all","American Indian or Alaska Native",125,"IL"
2022,"all","White",70391,"IL"
2022,"all","Unknown",2776,"IL"
