"data_year","offense","race","count","state"
2022,"all","Asian",2101,"VA"
2022,"all","Native Hawaiian",123,"VA"
2022,"all","Black or African American",76369,"VA"
2022,"all","American Indian or Alaska Native",166,"VA"
2022,"all","White",115211,"VA"
2022,"all","Unknown",1941,"VA"
