"data_year","offense","race","count","state"
2022,"all","Asian",383,"KY"
2022,"all","Native Hawaiian",199,"KY"
2022,"all","Black or African American",31156,"KY"
2022,"all","American Indian or Alaska Native",119,"KY"
2022,"all","White",145851,"KY"
2022,"all","Unknown",2113,"KY"
