"data_year","offense","race","count","state"
2022,"all","Asian",1248,"GA"
2022,"all","Native Hawaiian",118,"GA"
2022,"all","Black or African American",98023,"GA"
2022,"all","American Indian or Alaska Native",306,"GA"
2022,"all","White",82721,"GA"
2022,"all","Unknown",2906,"GA"
