"data_year","offense","race","count","state"
2022,"all","Asian",100,"NM"
2022,"all","Native Hawaiian",57,"NM"
2022,"all","Black or African American",2450,"NM"
2022,"all","American Indian or Alaska Native",9367,"NM"
2022,"all","White",31491,"NM"
2022,"all","Unknown",2708,"NM"
