"data_year","offense","race","count","state"
2022,"all","Asian",401,"ID"
2022,"all","Native Hawaiian",78,"ID"
2022,"all","Black or African American",1577,"ID"
2022,"all","American Indian or Alaska Native",2304,"ID"
2022,"all","White",43297,"ID"
2022,"all","Unknown",3960,"ID"
