"data_year","offense","race","count","state"
2022,"all","Asian",1005,"IN"
2022,"all","Native Hawaiian",128,"IN"
2022,"all","Black or African American",35508,"IN"
2022,"all","American Indian or Alaska Native",109,"IN"
2022,"all","White",73818,"IN"
2022,"all","Unknown",1920,"IN"
