"data_year","offense","race","count","state"
2022,"all","Asian",528,"NE"
2022,"all","Native Hawaiian",34,"NE"
2022,"all","Black or African American",6186,"NE"
2022,"all","American Indian or Alaska Native",1962,"NE"
2022,"all","White",31274,"NE"
2022,"all","Unknown",682,"NE"
