"data_year","offense","race","count","state"
2022,"all","Asian",2948,"NV"
2022,"all","Native Hawaiian",284,"NV"
2022,"all","Black or African American",32383,"NV"
2022,"all","American Indian or Alaska Native",1614,"NV"
2022,"all","White",67373,"NV"
2022,"all","Unknown",1864,"NV"
