"data_year","offense","race","count","state"
2022,"all","Asian",492,"CT"
2022,"all","Native Hawaiian",4,"CT"
2022,"all","Black or African American",24504,"CT"
2022,"all","American Indian or Alaska Native",294,"CT"
2022,"all","White",47362,"CT"
2022,"all","Unknown",1405,"CT"
