"","state","PUMA","count","incarcerated_parent_per_pop","incarcerated_parent_density"
"1","AK","00101",114.076345350235,29.9334414458763,0.039845703665706
"2","AK","00102",106.915375130162,18.69476746462,0.0489185854550629
"3","AK","00200",114.681962279894,14.5203801316655,0.000890401167142783
"4","AK","00300",90.6940695753674,10.8719814882963,0.000356960688571344
"5","AK","00400",172.393327321553,44.8357158183493,0.000130027329985014
"6","AL","00100",92.2792385206354,13.3370773985598,0.0163286650792606
"7","AL","00200",150.050995827715,17.4336000729308,0.0531691188168616
"8","AL","00301",86.3603895040496,14.0537655824328,0.364172578760109
"9","AL","00302",59.9383321921512,18.0537145157082,0.369046421302479
"10","AL","00400",51.7403304834234,11.4698138956824,0.0104825807656171
"11","AL","00500",59.0217875858422,10.1937456970367,0.0285041767456062
"12","AL","00600",77.6706553994332,10.8965565936354,0.0227793064772038
"13","AL","00700",48.6800553183312,11.066163973251,0.0135487352842059
"14","AL","00800",78.833201286003,11.9498561900869,0.0233298194078077
"15","AL","00900",54.6616920982357,14.5106695243524,0.0384579199068603
"16","AL","01000",95.4328065989419,17.2760330555651,0.0118377551351791
"17","AL","01100",66.099392034328,15.7604654349852,0.0416683663620295
"18","AL","01200",122.037237516802,11.9293487308702,0.0581769153886233
"19","AL","01301",101.85300045835,21.0744879905545,0.927934723311795
"20","AL","01302",87.657977500487,29.734727781712,0.646894046338709
"21","AL","01303",109.833117101504,16.010658469607,0.306483206746293
"22","AL","01304",128.64641078955,19.35405608388,0.108792332331245
"23","AL","01305",112.176493589716,23.129173936024,0.0996528493835223
"24","AL","01400",51.1643094905529,11.387560536513,0.00762026388379131
"25","AL","01500",83.4651293288444,16.4301435686702,0.0148704110106345
"26","AL","01600",87.7785403955077,21.223051352879,0.45041084535277
"27","AL","01700",100.122316982126,19.7324235282077,0.0069532493577836
"28","AL","01800",76.3525243184559,18.4917714503405,0.0107671189887894
"29","AL","01900",98.8618134023104,16.6042682906131,0.0619440504831267
"30","AL","02000",188.679435176278,24.1586984860792,0.544685007159394
"31","AL","02100",139.609071566896,19.2856847032596,0.0203069179367006
"32","AL","02200",101.174172928193,22.7818448385932,0.00556833174822283
"33","AL","02300",67.2555931288551,14.7103222066612,0.00833453654274275
"34","AL","02400",125.582307060643,21.8860765180626,0.0139916636071097
"35","AL","02500",120.370902543316,15.6549489586833,0.0202631368117899
"36","AL","02600",112.426808902822,13.144722191374,0.0213908166030566
"37","AL","02701",97.3176958406441,21.903600234221,0.483748830683165
"38","AL","02702",83.9600396690881,22.1005632190282,0.56641489639867
"39","AL","02703",111.414101144053,13.670441858166,0.0284735890625173
"40","AR","00100",159.478820759744,12.6470119555705,0.0696649714028994
"41","AR","00200",119.605423361889,12.5675552550057,0.0485006613283828
"42","AR","00300",69.9664471441578,10.6170632995687,0.00563305921192912
"43","AR","00400",63.9264002579877,12.052488736423,0.00547561992092567
"44","AR","00500",124.251306069123,15.1138919923517,0.0163133900553263
"45","AR","00600",84.5009410186655,19.169904949788,0.018148621556518
"46","AR","00700",107.964080915601,33.950968841384,0.010430583159871
"47","AR","00800",63.7910262082005,15.0948949853764,0.0083401669755366
"48","AR","00900",222.389738952951,26.4246362824323,0.124437205139328
"49","AR","01000",193.11936271819,29.8207786779169,0.632560905033243
"50","AR","01100",134.713301420966,17.268722140875,0.0354534998959924
