"","state","PUMA","count","foster_per_pop","foster_density"
"2263","wa","11502",16.8067121864807,2.98520642743885,0.0283713081346457
"2264","wa","11503",22.4761976201122,3.14308455042822,0.0543821124921648
"2265","wa","11504",49.2112678119795,4.93692494100918,0.430821094988124
"2266","wa","11505",23.2696075348201,2.90108559217305,0.0972458584533018
"2267","wa","11506",29.505307323894,2.7647401915193,0.239804554548216
"2268","wa","11507",37.6266076983754,4.75203431401558,0.012106574198901
"2269","wa","11601",16.9127804598862,3.89785214562946,0.343115887731009
"2270","wa","11602",43.8381549088113,2.79651409216709,0.824260758593828
"2271","wa","11603",9.06715895035456,2.49303243067214,0.241809327434142
"2272","wa","11604",17.6187241869441,3.23873606377649,0.323228013369588
"2273","wa","11605",15.902594178952,3.41403911098154,0.198665874683852
"2274","wa","11606",21.9443558151296,3.85868750046238,0.272192202881002
"2275","wa","11607",15.5528388947665,2.21898115205685,0.146602966303259
"2276","wa","11608",17.312686828128,2.32541125965453,0.149263080415972
"2277","wa","11609",18.7159241097241,2.02706857031562,0.0808787799404144
"2278","wa","11610",12.6332489877375,2.205525312105,0.157162305742333
"2279","wa","11611",21.0115356779874,3.00422300228588,0.188944661322759
"2280","wa","11612",17.0776711445122,2.25299091616256,0.0388947678782947
"2281","wa","11613",27.4136285046794,3.3036428663147,0.278913840072637
"2282","wa","11614",30.6788473394906,3.78844743634114,0.1702506489553
"2283","wa","11615",24.8927176066275,3.10035092871186,0.0144601737282932
"2284","wa","11616",19.0968184757047,2.61421197477135,0.00757710716812163
"2285","wa","11701",12.8888958582525,2.84146734088459,0.178109018514348
"2286","wa","11702",24.9312904066339,2.86731344527129,0.279924878019979
"2287","wa","11703",33.2622775628537,5.52896900978287,0.420006169516177
"2288","wa","11704",35.5615360175744,4.2299911999018,0.212785873276909
"2289","wa","11705",36.4188209069817,4.36519488277378,0.01483431507565
"2290","wa","11706",24.5460903970723,2.91590525030557,0.0087429174574273
"2291","wa","11801",25.6685142141197,2.93757315336687,0.0300830078908386
"2292","wa","11802",22.6421551073645,2.7451691449278,0.0372438738670029
"2293","wa","11900",12.1248100591223,2.84352956358403,0.000966687259529432
"2294","wi","00100",29.6216208196063,3.05661137339865,0.000881252866245663
"2295","wi","00101",21.9815626252172,0.894541269898555,0.379908215864042
"2296","wi","00102",16.1175480337832,1.41109683363537,0.00975535050395339
"2297","wi","00103",22.721355340031,2.19424001352304,0.0152348327534899
"2298","wi","00200",8.1406844043646,1.16328728270429,0.0559645077420058
"2299","wi","00300",12.6502416259251,1.16313365446167,0.00874886448134959
"2300","wi","00600",8.09835184453175,1.775954351871,0.000615148824367289
"2301","wi","00700",18.889872773611,1.20379000596552,0.00130121558262505
"2302","wi","00800",11.8196199359667,1.07568437713566,0.00121593992078848
"2303","wi","00900",7.07394988941828,0.717511906828105,0.00570174256460218
"2304","wi","01000",12.014436416969,1.59279284329432,0.00282592070493139
"2305","wi","01001",23.0519682243409,1.89743750303242,0.00598495053358198
"2306","wi","01300",7.63629077554688,1.3359501006905,0.000530867792566895
"2307","wi","01301",7.93620593046285,1.31068636341253,0.00119086777822983
"2308","wi","01400",18.4583632221185,2.25156906832379,0.00202800863671234
"2309","wi","01401",15.4220326447495,1.30928199717714,0.00513032785934848
"2310","wi","01500",17.1458014428788,1.53526159051565,0.0102913200226603
"2311","wi","01501",17.1385292491268,1.35300617740008,0.011460159252377
"2312","wi","01600",10.2566101559491,1.41979653321554,0.00251779175780332
"2313","wi","01601",15.0360838595623,1.36890785320123,0.00186174105101156
"2314","wi","02400",24.2341500255382,2.62586954442932,0.0129068170565694
"2315","wi","02500",8.00048137368769,1.15613892683348,0.00243459307176628
"2316","wi","10000",41.2734674683183,3.17195415526577,0.0211693363016564
"2317","wi","20000",25.2445659940548,1.61492873554598,0.00629242982330368
"2318","wi","30000",20.7809869709104,2.07519342629422,0.0101461944249777
"2319","wi","40101",14.5002267171179,1.39090903761322,0.169027211404134
"2320","wi","40301",7.9895850290628,1.4300313279153,0.00303998238232549
"2321","wi","40701",23.2497352391121,3.48990321811949,0.195219626657047
"2322","wi","41001",38.0844961965849,5.25158524497861,0.487024110345728
"2323","wi","41002",37.8337346900352,5.75855931355178,0.98264664359171
"2324","wi","41003",32.6169856414078,3.07185775488866,1.08786943493497
"2325","wi","41004",5.68386588467371,0.701971827179661,0.181091270894068
"2326","wi","41005",11.3550046723085,2.04116567900566,0.176627609326002
"2327","wi","50000",7.08826374316566,0.692957644262944,0.00475440891185786
"2328","wi","55101",12.3055596247275,1.60542199931213,0.00137020533463751
"2329","wi","55102",14.9788933429808,1.41030913689679,0.00362361099703048
"2330","wi","55103",8.66286133922603,0.652913878446339,0.00262697194683066
"2331","wi","70101",6.47889164004795,1.23102634239938,0.00774028239582697
"2332","wi","70201",33.244552433997,3.1959769692364,0.0864836198306092
"2333","wi","70301",21.1825627588832,2.7481269796164,0.0757847382155543
"2334","wv","00100",68.1796704258295,8.77812159467355,0.0437958498430892
"2335","wv","00200",58.7020988510351,7.50282449527544,0.0185310866793059
"2336","wv","00300",54.3087061901389,4.36424832771929,0.0206323469014462
"2337","wv","00400",159.891241749938,8.3910386643893,0.0355801774632584
"2338","wv","00500",44.3617728248044,5.62395700111617,0.00397615117056248
"2339","wv","00600",56.5370832507127,7.5433066378536,0.0068959716074465
"2340","wv","00700",52.0193535344917,9.83166764968658,0.0269438708137823
"2341","wv","00800",69.0366278987076,5.77325873044887,0.0214274355718919
"2342","wv","00900",57.108911886637,9.15940848221924,0.0170750354408228
"2343","wv","01000",94.8396506985254,9.88427834273324,0.0292036534818602
"2344","wv","01100",50.1640835880768,12.5441569362533,0.00482302680709
"2345","wv","01200",73.3664885479445,8.14459242317324,0.0166880849932665
"2346","wv","01300",37.4843105531584,7.97708247566682,0.00755629497667386
"2347","wy","00100",21.6073010255391,2.79128032883853,0.000398790397466198
"2348","wy","00200",19.2601616154971,3.09449897421226,0.00031758684298146
"2349","wy","00300",11.8311699834426,1.17140296865769,0.000653844594756013
"2350","wy","00400",18.3576487307343,3.02283035250029,0.000403265966254022
"2351","wy","00500",28.9437186447869,4.81352380588507,0.000388834597446321
