"","state","PUMA","count","arrest_per_pop","arrest_density"
"1","AK","00101",618.561304600836,36.7687870534884,0.216057153360995
"2","AK","00102",652.335721521939,39.3115416127479,0.298472887550658
"3","AK","00200",689.422766386043,36.1503207165876,0.00535274095107249
"4","AK","00300",757.276598167129,33.4308934384217,0.00298054742924583
"5","AK","00400",956.403609324053,82.0313585491083,0.000721365551907237
"6","AL","00100",795.713166558738,35.9790724615092,0.140800184355553
"7","AL","00200",739.665856143288,33.2150458549233,0.262093440787376
"8","AL","00301",721.9927276683,38.7002962943986,3.04456655407605
"9","AL","00302",478.352690975103,34.4361594539704,2.94526628066387
"10","AL","00400",412.3062336481,34.1595885375393,0.0835331617328637
"11","AL","00500",390.863382044326,32.9286758251328,0.188764850759101
"12","AL","00600",502.026394206234,30.4905189314445,0.147234667126972
"13","AL","00700",402.137726882413,31.7468798359843,0.111923817129896
"14","AL","00800",557.295249474462,37.0665280661432,0.164925403446438
"15","AL","00900",420.892511029163,38.3291604616303,0.296124211622775
"16","AL","01000",619.778562580495,36.3933389653843,0.0768790851210545
"17","AL","01100",580.925378536417,39.0092249890154,0.366209291142722
"18","AL","01200",837.752621863962,33.3672928611129,0.399368786040137
"19","AL","01301",566.378443134507,44.8226055028891,5.16000728063676
"20","AL","01302",632.113435421835,46.2138788873984,4.66483975155394
"21","AL","01303",726.980415920364,34.0458210050281,2.02859843181102
"22","AL","01304",835.171236484687,43.6919297140825,0.70627875395432
"23","AL","01305",448.128894531117,38.7788936077464,0.398098744238228
"24","AL","01400",350.757737840654,31.3540482560699,0.05224084030922
"25","AL","01500",438.351174742209,34.9144703100126,0.078098029534334
"26","AL","01600",1304.05330616339,44.4114465879981,6.69138207775653
"27","AL","01700",703.610589191574,43.7351186717786,0.0488640297677036
"28","AL","01800",680.993412642348,48.1744066668328,0.0960326743608341
"29","AL","01900",1217.13420113581,37.6157925993081,0.762622288679714
"30","AL","02000",1236.95895757214,49.5457405099792,3.57088729904023
"31","AL","02100",770.117705698344,37.1893811907641,0.112017914564548
"32","AL","02200",705.274214848149,43.5435089737697,0.0388162382560732
"33","AL","02300",470.018048294738,38.5671656925197,0.0582461980783635
"34","AL","02400",1036.3522409777,45.9946849359888,0.115464449360944
"35","AL","02500",798.066932936482,37.0625055931121,0.134345918368753
"36","AL","02600",741.096586355589,34.2957372555689,0.141004279304825
"37","AL","02701",721.629354150645,59.92603837823,3.58709023309231
"38","AL","02702",666.250650579656,42.5719265546106,4.49468931542873
"39","AL","02703",691.859959767065,33.724589800978,0.176815465734865
"40","AR","00100",1155.08328734303,36.2061024776049,0.50457386001083
"41","AR","00200",2011.01996279527,46.0356185970898,0.815479728248087
"42","AR","00300",717.732280445698,50.0685232260689,0.0577852470589702
"43","AR","00400",760.451193562719,54.8468224711662,0.0651364958383283
"44","AR","00500",1406.78613313211,57.2935624799262,0.184701888778868
"45","AR","00600",854.016822722825,64.3860692643867,0.183420775338737
"46","AR","00700",761.105611588443,71.7144644858611,0.073531634852926
"47","AR","00800",718.960977534856,54.0409634346705,0.0939984031917782
"48","AR","00900",1713.78158099819,69.3137140949721,0.95893898325853
"49","AR","01000",1429.7254477364,83.3853638012598,4.68305409897675
"50","AR","01100",1711.62925698508,55.8698673777607,0.450462181866279
"51","AR","01200",766.21951136384,54.8082626154392,0.40495390289228
"52","AR","01300",972.814998394683,54.0632987881896,0.104607470355686
"53","AR","01400",1121.78836080437,49.5796146382203,0.376425081230604
"54","AR","01500",530.590802566436,49.5925602922175,0.0477808925853108
"55","AR","01600",1150.54397752883,58.5012445990149,0.146084459438027
"56","AR","01700",844.919138245946,78.7289543650714,0.173189946617925
"57","AR","01800",662.01298651562,61.6456827000298,0.0439962492024246
"58","AR","01900",855.533467466994,67.6631973637294,0.085490768006222
"59","AR","02000",662.284202268668,59.1853621330355,0.0686565081990927
"60","AZ","00100",1148.14320337966,49.276532333891,6.41722441419356
"61","AZ","00101",866.524850221293,42.637644551557,3.84644406127841
"62","AZ","00102",483.753561285905,39.5708434589697,4.47536727659745
"63","AZ","00103",724.894794856521,39.9413077776473,15.3848291257572
"64","AZ","00104",450.608261154636,46.2589324663418,8.30473982236376
"65","AZ","00105",720.827669417616,45.694305509833,7.49319664724455
"66","AZ","00106",627.887732007826,49.7061219132224,10.5920349772093
"67","AZ","00107",532.256000341574,37.7969038731412,5.02262561472255
"68","AZ","00108",880.017409153254,57.9836205543424,12.3637043045593
"69","AZ","00109",1803.32252104228,51.2715376163504,28.4095308181164
"70","AZ","00110",420.622517435057,36.9778037305545,3.42083655195623
"71","AZ","00111",446.619028828473,45.5826728749207,0.133635915577035
"72","AZ","00112",580.029590348288,52.9707388445925,0.951551674510916
"73","AZ","00113",288.213891795318,42.6604339543099,3.35650403614988
"74","AZ","00114",553.432305905718,45.5275013084664,8.87906006307165
"75","AZ","00115",576.08389982392,47.8634014476504,10.1375006431241
"76","AZ","00116",625.394312204878,56.7559952994716,14.0092246089205
"77","AZ","00117",274.278118176386,27.3375977450798,4.40017882430764
"78","AZ","00118",569.73570440868,34.4022525456603,6.33695806837925
"79","AZ","00119",470.000718342229,28.0563943614033,5.88852093193618
"80","AZ","00120",489.025738118008,50.3890508107169,3.42495692455717
"81","AZ","00121",676.682361171748,33.3193343429882,4.1185451182198
"82","AZ","00122",598.110493205313,25.2601779375502,16.1752542922878
"83","AZ","00123",620.37612626683,29.6037471973101,14.8891979228454
"84","AZ","00124",452.22018657117,25.9434448150519,6.70274172111552
"85","AZ","00125",579.836446597783,32.1613204613558,13.9716217630544
