"","state","PUMA","count","disconnected_per_pop","disconnected_density"
"1","al","02200",4483,276.779650552571,0.246731260605413
"2","al","01700",2851,177.21282943809,0.19799495773335
"3","al","01500",2280,181.600955794504,0.406211999872019
"4","al","01400",1656,148.028962188254,0.246639837754254
"5","al","00100",2517,113.809007053717,0.445379162890559
"6","al","00200",2808,126.094570928196,0.994987636131175
"7","al","00400",2377,196.934548467274,0.481579731846802
"8","al","01000",2924,171.697005284792,0.362701226641358
"9","al","01800",1971,139.431239388795,0.277947477393019
"10","al","01900",2203,68.0841858021448,1.38033825718939
"11","al","02400",2575,114.2819101722,0.286891797352547
"12","al","02500",2765,128.407560488552,0.465457781746192
"13","al","02300",2025,166.160663001559,0.250944727626126
"14","al","02600",3419,158.221111573881,0.650513900372872
"15","al","02703",3128,152.473799658786,0.799408563844148
"16","al","00600",2638,160.218645611904,0.773674564452073
"17","al","01100",3317,222.737040021488,2.09100215552772
"18","al","02701",2959,245.723301777113,14.7086588685309
"19","al","01600",3265,111.194360249293,16.7534274715743
"20","al","00700",1072,84.6293518591616,0.298361292518898
"21","al","00301",1944,104.202401372213,8.1976412702082
"22","al","00302",1084,78.0361385069469,6.6742985008227
"23","al","00500",1469,123.757371524853,0.709443704638652
"24","al","00900",1455,132.501593661779,1.02368352161363
"25","al","02702",2810,179.552715654952,18.9569450556877
"26","al","01305",2140,185.185185185185,1.90108543114854
"27","al","02100",3026,146.127100637435,0.44014857334691
"28","al","02000",4860,194.664744051911,14.0299822941566
"29","al","01200",1646,65.5594057434182,0.784671995844629
"30","al","01304",1957,102.380329584096,1.65497500525324
"31","al","00800",3050,202.859993348853,0.902613975242018
"32","al","01303",1044,48.8924272935887,2.91322395546168
"33","al","01301",1876,148.46470402026,17.0913525679078
"34","al","01302",2744,200.614124872057,20.2500367196306
"35","ak","00400",3249,278.668839523115,0.00245055189597523
"36","ak","00300",4286,189.210665724881,0.0168691681647982
"37","ak","00200",2754,144.407739499764,0.0213823060362923
"38","ak","00101",1234,73.3519586280687,0.431023611183562
"39","ak","00102",2762,166.445703266241,1.26373903531081
"40","az","00127",1472,109.629850301631,19.9451322922544
"41","az","00126",1488,94.6023269120733,17.8685437853525
"42","az","00128",1231,142.526340164409,16.4215704855068
"43","az","00110",947,83.2527472527473,7.70175651664376
"44","az","00109",1153,32.7817582167633,18.1643542134415
"45","az","00106",1935,153.182393920203,32.6421215706195
"46","az","00119",2702,161.29417382999,33.8526792346437
"47","az","00123",3269,155.993510211872,78.4569004978875
"48","az","00105",1243,78.7955625990491,12.9213178512558
"49","az","00115",1338,111.166500498504,23.5451396309564
"50","az","00114",1797,147.828232971372,28.8303930997081
"51","az","00113",565,83.6293664890468,6.57992149029192
"52","az","00117",839,83.6240406658029,13.4598780906758
"53","az","00118",2418,146.00567598575,26.8945135275387
"54","az","00103",1861,102.54008485316,39.4969962623352
"55","az","00104",501,51.4320911610718,9.23346287603107
"56","az","00122",2786,117.661964692964,75.3443702631121
"57","az","00116",827,75.0521825937018,18.5253183879002
"58","az","00125",2683,148.815796771868,64.6490254454079
"59","az","00132",910,47.3366625052018,2.46637781816787
"60","az","00131",1323,97.5735673722251,13.3479179148507
"61","az","00130",1202,129.066895737142,10.4655529655768
"62","az","00129",1930,140.007254261879,2.92844798406861
"63","az","00111",616,62.8699734639722,0.184317547354367
"64","az","00206",2227,154.803280967607,36.5804547243068
"65","az","00209",3098,186.491692752227,27.3378727757957
"66","az","00207",1187,39.2630325482932,23.5953264317596
"67","az","00107",132,9.37366851299531,1.245615983132
"68","az","00133",2290,117.279524736249,22.647797587483
"69","az","00112",614,56.0730593607306,1.00728090061557
"70","az","00102",1240,101.431492842536,11.4716580240348
"71","az","00101",1477,72.676278108547,6.5563011574998
"72","az","00803",1859,125.531771220204,1.29375846785663
"73","az","00100",886,38.0257510729614,4.95204850252064
"74","az","00108",591,38.940502075509,8.30318715061014
"75","az","00120",492,50.6955177743431,3.44578756399831
"76","az","00121",3598,177.162834211433,21.8987906078931
"77","az","00124",1991,114.221788767139,29.5103119299623
"78","az","00700",4043,148.820259874112,0.282688546350664
"79","az","00600",2744,146.136230494754,0.0589508615447778
"80","az","00400",2393,75.4841965806574,0.0495150699555549
"81","az","00300",4895,243.423342781839,0.089243365211282
"82","az","00800",2591,262.246963562753,0.0811941277935193
"83","az","00900",4442,240.367965367965,0.229909445334586
"84","az","00201",2479,199.790457769181,0.135189172714765
"85","az","00205",2026,127.82334384858,0.691947345546875
"86","az","00202",2039,120.929956704822,2.44519891865822
"87","az","00807",2493,135.865714752848,0.576052191611548
"88","az","00134",1361,90.7454327243633,0.0836518110140871
"89","az","00500",2873,139.832570816704,0.136475794047937
"90","az","00204",383,33.4760947469627,0.426446769514609
"91","az","00208",3454,220.266564632358,50.0264091794009
"92","az","00805",4137,331.27802690583,0.753902202455317
"93","az","00203",1244,92.0390648120746,2.34877617375719
"94","ar","00100",5284,165.627057016582,2.30820435678717
"95","ar","00300",2415,168.468782699686,0.194433740057998
"96","ar","00400",2587,186.584926072845,0.221589651196803
"97","ar","00500",2716,110.613342021667,0.356593172273114
"98","ar","00600",3214,242.310012062726,0.690284261683718
"99","ar","00700",1471,138.603599359276,0.142115671231107
"100","ar","01800",3276,305.05633671664,0.217717348938656
"101","ar","01900",1585,125.355900031636,0.15838406379478
"102","ar","02000",2640,235.924932975871,0.27367885422107
"103","ar","01500",1947,181.97962426395,0.175331719686098
"104","ar","01400",4290,189.60487934235,1.43954390587665
"105","ar","00200",2915,66.7292372493362,1.18204863791557
